source,destination,distance,source_crime_count,destination_crime_count,dest_percentile
adarsh nagar,aiims,14.299678642456527,0,2,67
aiims,adarsh nagar,14.299678642456527,2,0,100
adarsh nagar,bawana,20.96484391388237,0,1,84
bawana,adarsh nagar,20.96484391388237,1,0,100
adarsh nagar,burari,19.64475654376608,0,1,84
burari,adarsh nagar,19.64475654376608,1,0,100
adarsh nagar,chhatarpur,15.643106849873972,0,2,67
chhatarpur,adarsh nagar,15.643106849873972,2,0,100
adarsh nagar,chhawla,8.701591032985172,0,2,67
chhawla,adarsh nagar,8.701591032985172,2,0,100
adarsh nagar,chittaranjan park,19.274258148635532,0,1,84
chittaranjan park,adarsh nagar,19.274258148635532,1,0,100
adarsh nagar,civil lines,16.522029593571492,0,3,50
civil lines,adarsh nagar,16.522029593571492,3,0,100
adarsh nagar,connaught place,14.595941016411253,0,1,84
connaught place,adarsh nagar,14.595941016411253,1,0,100
adarsh nagar,dwarka,4.759881728964022,0,6,0
dwarka,adarsh nagar,4.759881728964022,6,0,100
adarsh nagar,fatehpur beri,20.53332923538304,0,1,84
fatehpur beri,adarsh nagar,20.53332923538304,1,0,100
adarsh nagar,gautam nagar,14.927123384356833,0,0,100
gautam nagar,adarsh nagar,14.927123384356833,0,0,100
adarsh nagar,geeta colony,20.34265665064637,0,1,84
geeta colony,adarsh nagar,20.34265665064637,1,0,100
adarsh nagar,green park,14.611987041881196,0,1,84
green park,adarsh nagar,14.611987041881196,1,0,100
adarsh nagar,inderpuri,7.548889390274024,0,1,84
inderpuri,adarsh nagar,7.548889390274024,1,0,100
adarsh nagar,jasola,23.18474579627933,0,2,67
jasola,adarsh nagar,23.18474579627933,2,0,100
adarsh nagar,kakrola,5.3922219593514615,0,1,84
kakrola,adarsh nagar,5.3922219593514615,1,0,100
adarsh nagar,kalkaji,20.462901708082548,0,2,67
kalkaji,adarsh nagar,20.462901708082548,2,0,100
adarsh nagar,kapashera,9.719578731675067,0,3,50
kapashera,adarsh nagar,9.719578731675067,3,0,100
adarsh nagar,karawal nagar,23.712657091053252,0,1,84
karawal nagar,adarsh nagar,23.712657091053252,1,0,100
adarsh nagar,kashmiri gate,16.848049660512842,0,4,34
kashmiri gate,adarsh nagar,16.848049660512842,4,0,100
adarsh nagar,khanpur,19.336328225789654,0,1,84
