location,date,headline,crime_type,article,age,businessman,percentile
civil lines,2019-10-31	2019-11-01	2019-09-05,"UP: Karwariya brothers convicted for SP MLA's murder | Allahabad News - Times of India	Allahabad: Ex-BSP MP, 3 others convicted of murder | Allahabad News - Times of India	CBI takes over probe in businessman's murder in Allahabad",murder	murder	murder,"ALLAHABAD: Former BSP MP Kapil Muni Karwariya, his brothers former BJP MLA Udai Bhan Karwariya and Suraj Bhan Karwariya along with one Ram Chandra aka Kallu have been convicted for the murder of SP leader Jawahar Yadav Additional district and sessions judge Badri Vishal Pandey ended the court proceedings after pronouncing the Karwariya brothers guilty to avoid a ruckus as supporters of the Karwariya brothers were present in large numbers outside the court.Jawahar Yadav was shot dead on August 13, 1996 in the Civil Lines area and his brother Sulaki Yadav had lodged a FIR against the Karwariya brothers.The investigation was handed over to the CB-CID teams from Allahabad, Varanasi and Lucknow.Proceedings in the case were stopped following a high court stay and it was only in 2015 that the hearing began after the stay was vacated.The Karwariya brothers surrendered and went to jail after the Supreme Court ordered that the hearing be completed on priority.The verdict was announced on Thursday though the quantum of sentence is yet to be announced.Jawahar Yadav was a SP MLA from Jhusi assembly segment and his wife, Bijma Yadav, is also a former Samajwadi Party legislator.	ALLAHABAD: Former BSP MP Kapil Muni Karwaria , his brothers Uday Bhan Karwaria and Suraj Bhan Karwaria, and one Ram Chandra Tripathi have been convicted in the sensational murder case of then sitting SP MLA Jawahar Yadav by the Allahabad sessions court on Thursday. Uday Bhan is a former BJP MLA while his wife, Neelam Karwaria, is the sitting BJP MLA from Meja assembly segment of Allahabad.All the four have been convicted under section 302 (committing murder) and section 307 (attempt to commit murder), section 149 (unlawful assembly) and other sections of Indian Penal Code While convicting them for murder, additional sessions judge (ASJ), Allahabad, Badri Vishal Pandey said the quantum of punishment to be awarded to them would be announced in the next hearing on November 4. Earlier, ASJ had reserved the judgment on October 18, 2019 after concluding trial in the case, which lasted for nearly two decades.According to district government counsel (criminal), Gulab Chandra Agrahri, who represented the prosecution side in the matter, as many as 18 witnesses were produced to prove the charges levelled against the accused.The defense counsel also produced as many as 156 witnesses to prove innocence of Karwaria brothers.During trial, testimonies of all witnesses were recorded and they were cross-examined. The trial continued for around 23 years.SP MLA Jawahar Yadav was killed on August 13, 1996, in Civil Lines area of Allahabad. The incident rocked the state, as AK-47 assault rifle was used for the first time in the city. Besides Jawahar, his driver Gulab Yadav and one Kamal Kumar Dixit, a passerby, also died in the firing.An FIR was lodged at Civil Lines police station at the instance of Sulaki Yadav, brother of Jawahar Yadav, on the same day. As per the FIR, Jawahar Yadav had enmity with Kapil Muni and his family members.In the 224-page judgment, additional sessions judge observed the prosecution has been successful in proving its case, hence all the four accused are convicted in Jawahar Yadav murder case.	The CBI has launched a probe against former BSP MLA Pooja Pal in connection with the killing of businessman Lalit Verma in Allahabad in 2016, officials said on Thursday.

Pooja, wife of BSP MLA Raju Pal who was allegedly killed on the orders of former SP MP Ateeq Ahmad, has been booked along with her brother Rahul and five others -- Dilip Pal, Prithvi Pal, Sandeep Yadav, Rajesh Tripathi and businessman Mukesh Kesarwani, they said.

She had joined the Samajwadi Party (SP) before elections in March this year.

The agency has taken over an FIR registered by the Uttar Pradesh Police as per the procedure.

It is alleged that Lalit Verma, along with his brother Vikram, was going to visit his lawyer in Civil Lines area of Allahabad when the two were shot at by assailants on February 3, 2016. While Lalit died, his brother was seriously injured.

Lalit's father Vinod and younger brother Virendra were on another motorcycle.

According to the FIR, an SUV overtook them and blocked Lalit's motorcycle, following which the assailants allegedly stepped out of the car and shot at Lalit and Vikram.

Lalit's father Vinod claimed that the killing was a result of a land dispute between him and Pooja Pal.

The CBI is already probing the killing of Pooja Pal's husband Raju and filed a charge sheet against Ahmad.",-1	-1	-1,0	0	1,50
mehrauli,2019-11-01	2019-11-01	2019-11-02	2019-09-18	2019-09-18,HC notice to Delhi govt on Jessica Lal murder convict Manu Sharma's plea for release	Jessica lal murder convict Manu Sharma seeks premature release; HC asks Delhi govt to respond	Jessica Lall murder: Convict Manu Sharma seeks early release | Delhi News - Times of India	Jessica Lal murder case: Convict's wife approaches NHRC for early release	Jessica Lal murder case: Convict Manu Sharma's wife approaches NHRC for his early release,murder	murder	murder	murder	murder,"The Delhi High Court on Friday issued a notice to the state government on a plea filed by Manu Sharma, the convict in 1999 Jessica Lal murder case, seeking his release.

A division bench of Justices Manmohan and Sangeeta Dhingra Sehgal granted four weeks to file a response on the petition of Siddharth Vashisht, also known as Manu Sharma. The court will take up the matter on December 16.

Sharma is serving life term for murdering Jessica Lal in south Delhi's Mehrauli in April, 1999.

The Delhi government sought time to file its response on Sharma's petition, which was filed through advocate Amit Sahni.

Sharma has completed almost 23 years (with remission) and 17 years (without remission) in jail, the petition said, adding that he is aggrieved by the Delhi government's September 19 order upholding the recommendation of Sentence Review Board (SRB), which decides on the release of prisoners sentenced for life.

The board had rejected Sharma's petition for early release on July 19 this year.

The petition said the board had rejected Sharma's petition in spite of fulfilling ""all required parameters"" and called its decision as ""unfair, arbitrary impartial"".

""This is not for the first time, that the SRB has chosen to reject the petitioner's case for release, earlier too on three occasions, the case of the petitioner has been rejected by SRB in an unfair manner for extraneous reasons, despite fulfilling all required parameters and prescribed conditions,"" it submitted.

It said, ""Aggrieved by the earlier rejection order the Manu stated that his rejection is unreasoned and cryptic manner which were contrary to the facts on record in an unfair and biased manner.""

In September this year, Sharm's wife, Preity Sharma, had approached the Human Rights Commission (NHRC) alleging that gross violation of Human Rights and stated that her husband is illegally detained for more than the prescribed period of incarceration (20 years with remission).

Jessica was shot by Sharma, the son of former Congress leader Venod Sharma, when she refused to serve him liquor at Tamarind Court restaurant at Qutub Colonnade in south Delhi's Mehrauli on April 29, 1999.

Jessica's sister, Sabrina Lall, had written a letter to Tihar Jail for Sharma's early release, saying that she had no objection to his release.	Jessica Lal murder convict Manu Sharma, who has spent about 17 years in jail, has sought premature release and the Delhi High Court Friday asked the Delhi government to respond to his plea.

A bench of Justices Manmohan and Sangita Dhingra Sehgal asked the Delhi government to file its reply on the petition in which Sharma has challenged the July 19 decision of Sentence Review Board (SRB) rejecting his case for release.

The court listed the matter for further hearing on December 16.

Senior advocate Abhishek Manu Singhvi, appearing for Sharma, sought his release while relying on the high court's judgement by which Tandoor murder case convict Sushil Sharma was granted premature release.

""The petitioner qualifies all the requisite parameters as stipulated in minutes of meetings of SRB. Further incarceration of the petitioner after completion of maximum prescribed period, that is, 20 years (including remission), in absence of cogent and compelling reasons, is unlawful and without legal justification,"" said the plea, filed through advocate Amit Sahni.

""The recommendations dated July 19, 2019 of SRB rejecting the case of petitioner for pre-mature release is contrary to law and not based on facts and is liable to be set aside,"" it said.

Delhi government standing counsel (criminal) Rahul Mehra said for the last three years, Sharma was in semi-open jail and now he is in open jail. He said it has been held by the Supreme Court that life imprisonment means till natural life.

Sharma said in his plea SRB has rejected the plea in an arbitrary and impartial manner and even earlier also, the authorities have rejected his plea on three occasions.

Sharma, son of former Union minister Venod Sharma, was convicted and sentenced to life imprisonment by the high court in December, 2006 for killing Jessica Lal in 1999.

The trial court had acquitted him, but the Delhi High Court had reversed the order and the Supreme Court had upheld his life sentence in April, 2010.

Lal was shot dead by Manu Sharma after she had refused to serve him liquor at the Tamarind Court restaurant owned by socialite Bina Ramani at Qutub Colonnade in south Delhi's Mehrauli area on the night of April 30, 1999.	NEW DELHI: Jessica Lal murder convict Manu Sharma on Friday moved Delhi high court challenging the rejection of his plea for premature release by the Sentence Review Board (SRB) of the state government.A bench of Justices Manmohan and Sangita Dhingra Sehgal asked the Delhi government to file its reply on the petition by Sharma against the July 19 decision of the SRB rejecting his case for release.Sharma, who has spent nearly 17 years in jail, has cited the HC verdict on Tandoor murder case convict Sushil Sharma who was granted premature release.""The petitioner qualifies all the requisite parameters as stipulated in minutes of meetings of SRB. Further incarceration of the petitioner after completion of maximum prescribed period, that is, 20 years (including remission), in absence of cogent and compelling reasons, is unlawful and without legal justification,"" said the plea, filed through advocate Amit Sahni. ""The recommendations dated July 19, 2019 of SRB rejecting the case of petitioner for pre-mature release is contrary to law and not based on facts and is liable to be set aside,"" it added.However, prosecution opposed the plea arguing that for the last three years, Sharma was in semi-open jail and now he is in open jail and it has been held by the Supreme Court that life imprisonment means till natural life.But the convict questioned the rejection by SRB, arguing that it has been done in an arbitrary manner and even earlier, the authorities had rejected his plea on three occasions.Sharma, son of former Union minister Venod Sharma, was convicted and sentenced to life imprisonment by high court in December, 2006 for killing Jessica Lall in 1999.The trial court had acquitted him, but Delhi High Court had reversed the order and the Supreme Court had upheld his life sentence in April, 2010.Lall was shot dead by Sharma after she had refused to serve him liquor at the Tamarind Court restaurant owned by socialite Bina Ramani at Qutub Colonnade in south Delhi's Mehrauli on the night of April 30, 1999.	The wife of Manu Sharma, a convict in Jessica Lal murder case, has approached the Human Right Commission (NHRC) for his release, alleging human rights violation.

In January, the Delhi High Court disposed of Sharma's plea seeking premature release from the prison.

Sidharth Vashisht alias Manu Sharma is serving a life term in Tihar Jail for murdering Jessica Lal in 1999.

Jessica's sister Sabrina Lall had written a letter to Tihar Jail for Sharma's early release, saying that she had no objection to his release.

Jessica was shot by Manu when she refused to serve liquor to him at Tamarind Court restaurant, owned by socialite and designer Bina Ramani at Qutub Colonnade in south Delhi's Mehrauli on April 29, 1999.

Manu Sharma is the son of former Congress leader Venod Sharma.	The wife of Manu Sharma, a convict in Jessica Lal murder case, on Wednesday approached the Human Right Commission (NHRC) for his release, alleging human rights violation.

Manu's wife Preity Sharma through her advocate Amit Sahni approached the NHRC, alleging the gross violation of her husband's human rights.

She has claimed that her husband had been illegally detained for more than the prescribed period of incarceration (20 years with remission) as per the prevalent policy of the state.

""The policy clearly reads that cases falling in Clause 3.1 of the SRB order such as her husband's case should not be detained for more than 20 years with remission and having fulfilled all the parameters as laid down in the state policy of the government and as per recommendations of the NHRC guidelines,"" she has stated in her plea.

Manu Sharma, originally Siddharth Vashisht, is serving life term for murdering model Jessica Lal in 1999.

His detention beyond the maximum prescribed period in a whimsical and arbitrary manner tantamount to illegal and unlawful detention and is violative of his basic human rights as enriched in Articles 14 and 21 of the Constitution, she further said.

Preity submitted that Delhi's Sentence Review Board (SRB) rejected Sharma's plea for premature release for ""extraneous reasons on four occasions"" even as he fulfills all factors which are to be considered to make a decision.

She said that the board extended benefit of ""premature release to convicts who were involved in much more serious offences and who did not even fulfill the prescribed parameters"" and alleged ""malpractice and violation"" of law in the decision making which, she said, was in complete ""violation of constitutional rights and human rights of my husband.""

Advocate Sahni urged the NHRC to protect the human rights of Manu Sharma by passing appropriate directions to ""uphold the law and stop the blatant violation of his human rights being done without having sufficient cause.""

In January, the Delhi High Court disposed of Sharma's plea seeking premature release from the prison.

Jessica's sister Sabrina Lall had written a letter to Tihar Jail for Sharma's early release, saying that she had no objection to his release.

Jessica was shot by Manu when she refused to serve liquor to him at Tamarind Court restaurant, owned by socialite and designer Bina Ramani at Qutub Colonnade in south Delhi's Mehrauli on April 29, 1999.

Manu Sharma is the son of former Congress leader Venod Sharma.",-1	-1	-1	-1	-1,0	0	0	0	0,17
tis hazari,2019-08-05	2019-08-05,15 cops in Unnao rape survivor’s security quizzed by CBI in Delhi	Unnao rape survivor airlifted to AIIMS after SC order,rape	rape,"Fifteen police constables, including nine of now and six of sometime earlier, posted in the security of Unnao rape survivor, were summoned to the Central Bureau Investigation (CBI) headquarters in Delhi for questioning on Monday. Most of these constables are from Makhi police station of Unnao and at least half of these are women.“The constables who were summoned to Delhi were the total number deployed in the security of the survivor and her family at different occasions since last year,” said MP Verma, superintendent of police, Unnao.According to reports, the rape survivor and her family were provided nine constables as of now. Six of them were deployed as static security at her house and three others remained with her whenever she visited any other place.The role of the security personnel was questioned when it was revealed that none of them were accompanying the survivor when she met with an accident on July 28. The survivor and her lawyer Mahendra Singh Chauhan were critically injured while two of her aunts were killed in the accident.Earlier, SP Unnao suspended three police personnel, including gunner Sudesh Verma and two female constables Ruby Singh and Sunita Devi, who were deployed in the rape survivor’s security but did not accompany her. The trio was also among the constables summoned by the CBI.Meanwhile, a total of eight inmates lodged in different UP jails in connection with the Unnao case will be presented in Tees Hazari court, which is hearing the case, on Tuesday.These inmates include expelled BJP MLA Kuldeep Singh Sengar and Shashi Singh, who are lodged in Sitapur prison. The CBI has already taken Sengar to Delhi. “Apart from Sengar and Sashi Singh, six other inmates lodged in Lucknow jail, namely Ram Saran, Vineet Mishra, Virendra Singh, Shailendra Singh, Jaideep Singh and Sashi Pratap Singh will also be taken to Delhi to be presented before court,” said additional director general (prisons) Anand Kumar.The move comes a day after the CBI carried out comprehensive searches at 17 locations, including the residence of Sengar, Shashi Singh and others in four districts of the state as part of its ongoing investigation.On Monday, a CBI team took Sengar and co-accused Sashi Singh for hearing in Tis Hazari court, Delhi after which they were kept in Tihar jail.DRIVER, CLEANER TAKEN TO ACCIDENT SPOTA CBI team on Monday took driver Ashish Kumar Pal and cleaner Mohan of the truck, which hit the car in which the Unnao rape survivor was travelling on July 28, to the spot where the accident took place. The car had collided with the truck near Ataura police outpost under Gurbakshganj police station limit of Rae Bareli. CBI currently had 72-hour remand of the duo that ends on Monday. The duo was lodged in Rae Bareli district jail.	The Unnao rape survivor, who was being treated at King George’s Medical University (KGMU) here since July 28 when she was seriously injured in a car-truck accident, was airlifted to AIIMS, New Delhi, following a Supreme Court order on Monday.The air ambulance left KGMU Trauma Centre at around 6.30 pm via a ‘congestion free green corridor’ made from KGMU to the airport.The ambulance passed through Moti Mahal lawns, Cchiraiya Jheel, 1090 crossing, Golf Club, Bandariya Bagh Crossing, Somnath Dwar, Ahmamau, Shaheed Path to reach the airport. The ambulance reached the airport at around 7.15 pm and the plane carrying the survivor took off at 7.29 pm. The CRPF personnel, deployed in her security, were present during the travel.“Intensivist Dr Ram Gopal of the KGMU accompanied the patient till New Delhi along with a medical team in the air ambulance,” said Prof Sandip Tiwari, HoD trauma surgery at the KGMU, who was treating the woman along with other experts.The woman, who has accused BJP MLA Kuldeep Singh Sengar of raping her in 2017, was critically injured when the car she was travelling in was hit by a truck in Rae Bareli on July 28. Her lawyer, who was accompanying her in the car, too, was severely injured while her two aunts died in the accident.A CBI team took Sengar and co-accused Sashi Singh from Sitapur jail for hearing in Tis Hazari court, New Delhi on Monday, after which they were kept in Tihar jail. In the Monday morning medical bulletin, KGMU doctors said condition of the rape survivor was critical but stable. They said there had been slight improvement in her condition as she opened her eyes and followed instructions from the medical staff.“She was able to understand instructions. Also, as fever that had troubled her in the past two days, was no more troubling her, we made attempts to bring her out of the ventilator support,” said Prof Tiwari.The rape survivor’s lawyer is currently undergoing treatment in the same critical care unit of the KGMU Trauma Centre, where the survivor was admitted till Monday evening. He is likely to be shifted to New Delhi on Tuesday morning.According to doctors, the condition the lawyer is stated to be serious. He is breathing on his own without ventilator support but is in deep coma, said doctors.",-1	-1,0	0,67
fatehpur beri,2019-08-07,"On bail in rape case, man robs milk trader of ₹8lakh in south Delhi",rape,"New Delhi An man accused of raping a minor girl has been arrested for robbing a milk trader of R8 lakh in south Delhi’s Maidan Garhi last month, police said.Identified by his first name, Amreesh, the 21-year-old suspect was out on bail in the rape case. He had allegedly raped the girl in south Delhi’s Fatehpur Beri last year, the police added.Amreesh told the police that after he was identified him as a suspect in the cash robbery that took place on July 8, he had allegedly left his mobile phone in a taxi to send the investigators off track.Amreesh, along with his two colleagues Aadil and Abhishek, had targeted a milk trader who was headed to a bank on a motorcycle to deposit the cash.The trader, Mandeep Rathi, would generally collect R4-5 lakh from milk booths every day. But on July 8, he was carrying R 8.1 lakh. This information was allegedly relayed by someone known to Rathi to the suspects who planned to intercept him mid-way.Armed with a pistol, the robbers intercepted his motorcycle, assaulted him and forced him to hand over the bag containing cash. The suspects were captured by a camera some distance away.In the following days, the police arrested Aadil and Abhishek, but Amreesh had managed to flee. “When he got to know that he was identified and his mobile phone number was under surveillance, he intentionally left his mobile phone in a taxi in Haryana’s Badhkal,” said an investigator.The police thought they had nearly caught the suspect, but soon realised that Amreesh had thrown them off the track.Over the last week, the police identified a woman with whom Amreesh would allegedly speak over phone every night. That helped the police trace his location to Dasna in Uttar Pradesh and arrest him on Tuesday, said the officer.",21,0,84
aiims,2019-08-09	2019-09-25,"Unnao case: Court files charges of rape against expelled BJP MLA Sengar	Unnao rape survivor discharged from AIIMS, to stay at hospital's hostel for a week | Kanpur News - Times of India",rape	rape,"A Delhi court on Friday framed charges against expelled BJP MLA Kuldeep Sengar for allegedly raping a minor in Unnao in 2017.

District Judge Dharmesh Sharma also framed charges against Sengar's accomplice Shashi Singh for allegedly kidnapping the minor girl, who is presently admitted in AIIMS, Delhi.

The court has framed charges under Sections 120 b (criminal conspiracy), 363 (kidnapping), 366 (kidnapping or inducing a woman to compel for marriage), 376 (rape) and other relevant sections of the Protection of Children from Sexual Offences (POCSO) Act.

The CBI had on Thursday told the court that Sengar and his brother assaulted the father of the girl and framed him in an Arms Act case, in collusion with three state police officials and five others.

The agency had submitted that the MLA and his ""accomplices"" got lodged an FIR, accusing the rape survivor's father of possessing a country-made pistol and four live cartridges.	Following the discharge, she and her family members -- mother, two sisters and a brother -- will stay at the h...

NEW DELHI: The Unnao rape survivor was discharged from AIIMS , Delhi, where she underwent treatment following a car accident, sources said on Wednesday.The woman was admitted to AIIMS following the accident in Raebareli on July 28. A speeding truck had hit the car in which the rape survivor was travelling with her family members and lawyer. Two of her aunts were killed, while she and her lawyer were critically injured.On the Supreme Court's order, her family is under the CRPF security cover.Following the discharge, she and her family members -- mother, two sisters and a brother -- will stay at the hostel of the AIIMS' Jai Prakash Narayan Trauma Centre for a week on the directions of a Delhi court.The court has issued a slew of directions under the witness protection guidelines for arranging accommodation for the 2017 Unnao rape survivor and her family in Delhi after the Uttar Pradesh government said they wanted to reside in the national capital apprehending threat to their lives in their home state.The rape survivor's mother had a discussion with the judge about their relocation arrangements and said they be allowed to live in Delhi as they apprehend threat to their lives and liberty in case they go back to their native village in Unnao district, a lawyer privy to the proceedings said.The woman was allegedly kidnapped and raped by expelled BJP MLA Kuldeep Singh Sengar in Unnao in 2017, when she was a minor. The court had framed charges against Sengar and co-accused Shashi Singh in the case.",-1	-1,0	0,67
chhawla,2019-08-09	2019-10-01,Chef arrested in Delhi for murder of live-in partner	Police arrest four people involved in several cases of extortion and murder,murder	murder,"A chef was arrested from central Delhi’s Panchkuian Road on Friday morning, hours after he allegedly killed his 35-year-old live-in partner in outer Delhi’s Chhawla on Saturday night, police said. The arrested man, 42-year-old Ram Das, strangled the woman to death using an iron rod at their home in Chhawla as he suspected her of being in a relationship with another man and also because the couple was involved in a property dispute, said Eish Singhal, deputy commissioner of police (New Delhi). The DCP said that two officers of New Delhi district received a tip-off that Das would be passing through Panchkuian Road on a scooter in his bid to escape from the city after the murder. “We had the informer with us. We set up a picket and arrested Das from Panchkuian Road around 9.30 am,” said the DCP. The officer said that after the murder, Das had dumped the body of his live-in partner in a bathroom and fled the spot after locking the house from the outside.“The couple had been living together in Chhawla even as Das’ wife lived in her native village in Uttar Pradesh with their three children. Das had recently purchased a property in his legally wedded wife’s name. That had irked his live-in partner and she would often quarrel with him over that. Recently, Das had also begun to suspect her of being involved in a relationship with another man,” the DCP said about the motive behind the murder.	Four people involved in several cases of extortion and murder were arrested after a brief exchange of fire in Dwarka's Chhawla area, police said on Tuesday.

The accused have been identified as Gulshan Khati (23), Amit Gulia (25), Krishan Kumar (30) and Anil Bhattar (25).

While Khati, Gulia and Kumar are residents of Najfgarh, Bhattar hails from Jhajjar district in Haryana, they said.

""On Monday, the police arrested the accused near Chhawla stand in Najafgarh at around 5:40 PM after a brief exchange of fire.

""All the accused were sharpshooters. Four pistols, 23 live cartridges, one car and a bike were recovered from their possession,"" said Anto Alphonse, Deputy Commissioner of Police (Dwarka).

Khati, Kumar and Gulia were involved in separate cases and were lodged in jail. They had got interim bail but had not surrendered, police said.

Bhattar was arrested in connection with a murder and robbery case in Haryana in 2010. He remained in jail for nine years and was just released nine days ago, they added.",35	-1,0	0,67
okhla,2019-08-20	2019-09-29	2019-10-17	2019-10-17,"Rape convict who jumped parole and lived as beggar in old Delhi arrested	Man wanted for rape of minor girl in Delhi’s Sanjay Colony nabbed four years after incident	Thane: 27 years on, cops solve murder case only to find accused dead | Thane News - Times of India	27 years on, cops solve murder case only to find accused dead",rape	rape	murder	murder,"A rape convict who had escaped after being granted parole for kidney operation was recaptured while trying to sell his house in south Delhi’s Okhla, police said on Tuesday.The convict, identified by his first name Kanhaiya, had been living as a beggar in old Delhi during his days on the run, said Chinmoy Biswal, deputy commissioner of police (south-east).Kanhaiya had 21 criminal cases against him, but he was in jail for raping a woman in Okhla Industrial Area in 2014. “He had been convicted and awarded seven years imprisonment,” said the DCP.On March 26, Kanhaiya was granted parole for six weeks to undergo a kidney surgery. But he chose to jump parole and did not turn up at the Mandoli jail on May 6. “The Delhi High Court issued a non-bailable warrant against him and the jail authorities announced a reward of R5,000 for information about him,” said the DCP.The local police, meanwhile, had been hunting for parole jumpers in its jurisdiction. “We raided many suspected hideouts, but couldn’t find Kanhaiya. We also visited Haridwar where parole jumpers often hide, but he wasn’t there,” said the DCP.On Saturday, the police received a tip-off that Kanhaiya could visit his house in Sanjay Colony in Okhla. “He owns a house in Sanjay Colony. He planned to sell the house and live in anonymity off the money earned from the sale,” said the DCP.But Kanhaiya’s efforts to sell the house was what gave him away, said another investigator, adding that the word soon reached the local police who nabbed him just as he was about to enter Sanjay Colony.“He had been biding his time by begging on the streets in old Delhi. To avoid being identified, he would mainly take to the streets once it was dark,” said the investigator.	A 49-year-old man wanted for allegedly raping and attempting to kill a minor girl in 2015, was arrested on Saturday, more four years after the incident. Police said the man had fled home to Nepal and was working as a tailor. The man, who was tenant of the girl’s father, had raped the girl after an alleged fight with her father, the police said.Deputy commissioner of police (central) Mandeep Singh Randhawa said the incident took on August 10, 2015. It came to light when the mother of the girl, who was six-years-old at the time, went to pick her up from school but was told that girl’s grandfather has already picked her up.“The child’s mother recalled that their tenant, who was familiar with her daughter and addressed him as ‘Dada’ (grandfather), might have picked her up. When she got home, she did not find either the man or her daughter there. The woman searched for her daughter nearby, with the help of her neighbours, and found the child in a nearby green patch in a semi-conscious state,” Randhawa said.The officer said that since the child was injured, she was taken to hospital where doctors confirmed the sexual assault. “It was found that the couple’s tenant, who was the prime suspect, was on the run. Surveillance revealed that the man had fled to his native village in Nepal. In June 2018, court declared the man a proclaimed offender,” he added.He said, while working on unsolved heinous criminal cases, police got a clue that on Saturday, the accused would reach Delhi. “His movements were tracked and he was arrested from near Delhi Gate area in central Delhi,” Randhawa said.During interrogation, the man told police that he and the child’s father are both from Nepal. “He said he used to work at a garment export house in Okhla and often helped the girl’s family with their financial needs. He said the girl’s father had abused him on many occasions, which angered him and he wanted to exact revenge,” the officer said.Randhawa said the accused confessed that on August 10, 2015, he picked up the girl from her school and took her to a jungle area near Sanjay Colony and raped her. He said he even tried to kill the girl but fled, fearing he would be caught. He said, in the past four years he worked as a tailor in Kathmandu and shuttled between Bhutwal and Chaitwan in Nepal to avoid arrest,” he said.	THANE: Thane police in Maharashtra have cracked a 27-year-old case of killing of a sub-inspector , only to find that the accused died seven years ago, an official said on Thursday.On July 23, 1992, sub-inspector Mahendra Singh Patil , then attached to Mahatma Fule Chowk police station in Kalyan town, was stabbed to death by the accused, Iqbal alias Nanhe Khan, during a confrontation, crime branch's senior inspector Nitin Thakre said.After the killing, the accused, who was also wanted in connection with several robberies in the area, absconded and eluded the police for nearly three decades, he said.During a recent review of the unsolved cases, the crime branch of Thane police got information that Khan's whereabouts were last traced to Jasola village in Okhla area of Delhi.Last week, a Thane police team went to Okhla to nab Khan, but got to know that he died of an ailment seven years ago, Thakre added.	Thane police in Maharashtra have cracked a 27-year-old case of killing of a sub-inspector, only to find that the accused died seven years ago, an official said on Thursday.

On July 23, 1992, sub-inspector Mahendra Singh Patil, then attached to Mahatma Fule Chowk police station in Kalyan town, was stabbed to death by the accused, Iqbal alias Nanhe Khan, during a confrontation, crime branch's senior inspector Nitin Thakre said.

After the killing, the accused, who was also wanted in connection with several robberies in the area, absconded and eluded the police for nearly three decades, he said.

During a recent review of the unsolved cases, the crime branch of Thane police got information that Khan's whereabouts were last traced to Jasola village in Okhla area of Delhi.

Last week, a Thane police team went to Okhla to nab Khan, but got to know that he died of an ailment seven years ago, Thakre added.",-1	49	27	27,0	0	0	0,34
yamuna vihar,2019-08-28,Law student arrested in connection with Rs 15-lakh robbery in northeast Delhi,robbery,"A law student was arrested for allegedly involved in a daylight robbery of Rs 15-lakh in Khajuri Khas area of northeast Delhi in April this year, police said on Wednesday.

Absconding accused Rakesh Nagar (35) was caught by Delhi Police's Special Cell from Yamuna Vihar area of the city on Tuesday, they said, adding a reward of Rs 25,000 was announced on his arrest.

A team of Special Cell led by inspector Ishwar Singh arrested Nagar from Shaheed Bhagat Singh Park in Yamuna Vihar, said DCP (Special Cell) P S Kushwah.

""Nagar was wanted in a case of armed robbery that took place in Khajuri Khas on April 5 this year. He was on the run in this case for the last four months. A reward of Rs 25,000 was declared by Delhi Police on information leading to his arrest,"" he said.

A collection agent of a scrap dealer was robbed of Rs 15-lakh by four bike born robbers near a flyover in Khajuri Khas area on April 5.

""During investigation it was revealed that accused Rakesh Nagar had played a key role in that robbery by providing information to his associates about movement of the collection agent,"" the officer said.

Other accused in the case have already been arrested.

Nagar is pursuing LLB II year from Himachal Pradesh, the officer added.",-1,0,84
kalkaji,2019-08-28	2019-08-28,Man wanted for attempt to murder in New Delhi arrested after 28 years	Man wanted in attempt to murder case of 1991 arrested,murder	murder,"A 48-year-old man, who was on the run for the last 28 years after he allegedly stabbed his co-worker at a factory in south Delhi’s Kalkaji in 1991, was arrested from Uttar Pradesh’s Muzaffarnagar on Tuesday, police said.Identifying the man as Nadeem, Delhi Police said the fugitive had been working as a welder in Khatauli neighbourhood of Muzaffarnagar.To save himself from arrest, Nadeem had never gone back to his native home in the same district ever since he was booked for attempt to murder, said Devender Arya, deputy commissioner of police (south-west).Another investigator said that all these years, Nadeem had been living with his wife and last year adopted a daughter.In the 1991 crime, Nadeem and his two friends had requested his colleague, Abdul Rashid, to let him sleep next to them at a garments factory where they worked. “Since Nadeem was drunk, Rashid refused to oblige him. Nadeem felt insulted and wanted revenge. So, later that night, Rashid attacked him with a sharp weapon before fleeing,” said the officer.Police said a team of Palam police station had recently begun checking the files of fugitives. After initial failure, the police received a tip-off about Nadeem’s location after which he was arrested on Tuesday.	A 48-year-old man has been arrested in connection with an attempt to murder case registered in Kalkaji in 1991, police said on Wednesday.

A court had declared Nadeem, who had been evading arrest for 28 years, a proclaimed offender in December 1995.

Based on specific inputs, Nadeem was arrested from Khatauli Bus Stand, Uttar Pradesh, on Tuesday, the police said.",48	48,0	0,67
palam,2019-08-28,Man wanted for attempt to murder in New Delhi arrested after 28 years,murder,"A 48-year-old man, who was on the run for the last 28 years after he allegedly stabbed his co-worker at a factory in south Delhi’s Kalkaji in 1991, was arrested from Uttar Pradesh’s Muzaffarnagar on Tuesday, police said.Identifying the man as Nadeem, Delhi Police said the fugitive had been working as a welder in Khatauli neighbourhood of Muzaffarnagar.To save himself from arrest, Nadeem had never gone back to his native home in the same district ever since he was booked for attempt to murder, said Devender Arya, deputy commissioner of police (south-west).Another investigator said that all these years, Nadeem had been living with his wife and last year adopted a daughter.In the 1991 crime, Nadeem and his two friends had requested his colleague, Abdul Rashid, to let him sleep next to them at a garments factory where they worked. “Since Nadeem was drunk, Rashid refused to oblige him. Nadeem felt insulted and wanted revenge. So, later that night, Rashid attacked him with a sharp weapon before fleeing,” said the officer.Police said a team of Palam police station had recently begun checking the files of fugitives. After initial failure, the police received a tip-off about Nadeem’s location after which he was arrested on Tuesday.",48,0,84
